correctness,reasoning,UrduLanguageFluency,clarity,completeness,row_idx
5,5,5,5,5,0
5,5,4,5,5,1
1,1,3,2,2,2
1,1,4,3,1,3
1,1,3,2,3,4
5,5,4,5,5,5
5,5,4,5,5,6
1,2,3,2,2,7
1,1,3,2,2,8
5,5,5,5,5,9
5,5,5,5,5,10
5,5,4,5,5,11
1,1,3,3,2,12
1,1,2,1,1,13
5,5,4,4,5,14
5,5,4,5,5,15
5,5,4,5,5,16
1,1,3,3,3,17
1,2,4,4,4,18
5,5,4,5,5,19
1,1,2,2,2,20
5,5,5,5,5,21
5,5,5,5,5,22
5,5,5,5,5,23
5,5,4,5,5,24
5,5,4,5,5,25
5,5,4,5,5,26
1,1,3,2,2,27
1,2,3,2,2,28
1,1,3,2,2,29
5,5,5,5,5,30
1,1,4,3,3,31
1,1,4,3,1,32
5,5,4,5,5,33
5,5,4,5,5,34
5,5,5,5,5,35
5,5,5,5,5,36
4,2,4,2,3,37
1,1,2,1,1,38
1,1,2,1,1,39
5,5,5,5,5,40
3,1,2,2,2,41
5,5,5,5,5,42
1,1,2,1,1,43
5,5,4,5,5,44
2,2,3,2,2,45
1,1,4,1,2,46
1,1,3,2,1,47
5,5,5,5,5,48
5,5,4,5,5,49
1,2,4,3,4,50
5,5,4,5,5,51
5,5,4,5,5,52
1,2,3,3,3,53
5,5,4,5,5,54
5,5,4,5,5,55
5,5,4,5,5,56
5,5,4,5,5,57
5,5,5,5,5,58
1,1,3,1,1,59
5,4,5,4,5,60
5,5,4,5,5,61
1,1,2,1,1,62
5,5,4,5,5,63
5,5,4,5,5,64
1,2,4,3,3,65
1,2,3,3,2,66
5,5,5,5,5,67
5,5,5,5,5,68
5,5,4,5,5,69
1,2,4,4,5,70
5,5,5,5,5,71
5,5,4,5,5,72
5,5,4,5,5,73
5,5,4,5,5,74
1,1,4,4,3,75
1,2,4,3,2,76
5,5,4,5,5,77
5,5,4,5,5,78
5,5,4,5,5,79
1,1,4,4,4,80
5,5,4,5,5,81
5,5,4,5,5,82
5,5,5,5,5,83
5,5,5,5,5,84
5,5,4,5,5,85
5,5,4,5,5,86
1,1,3,2,2,87
1,1,3,2,2,88
4,3,4,3,5,89
1,1,4,3,4,90
5,5,5,5,5,91
1,2,4,3,3,92
1,1,2,1,1,93
5,5,4,5,5,94
5,5,4,5,5,95
1,1,2,1,2,96
1,1,3,1,1,97
1,1,4,2,2,98
5,5,5,5,5,99
5,5,5,5,5,100
5,5,5,5,5,101
1,1,4,4,2,102
5,5,4,5,5,103
5,5,5,5,5,104
5,5,4,5,5,105
5,5,4,5,5,106
1,1,2,1,1,107
5,4,3,4,4,108
1,1,3,2,2,109
5,5,4,5,5,110
1,1,2,1,1,111
5,5,5,5,5,112
5,5,5,5,5,113
1,1,3,2,2,114
1,2,3,2,3,115
5,5,4,5,5,116
1,1,1,1,1,117
5,5,4,5,5,118
1,1,2,2,1,119
5,5,5,5,5,120
1,1,2,1,1,121
1,1,2,1,1,122
5,5,4,5,5,123
1,2,4,3,2,124
1,1,3,2,2,125
5,5,5,5,5,126
5,5,5,5,5,127
5,5,5,5,5,128
5,5,4,5,5,129
5,5,4,5,5,130
5,5,5,5,5,131
5,5,4,5,5,132
5,5,4,5,5,133
5,5,4,5,5,134
1,1,4,4,4,135
1,1,2,1,2,136
5,5,4,5,5,137
1,1,3,3,2,138
5,5,4,5,5,139
5,5,5,5,5,140
1,1,3,1,1,141
5,5,4,4,5,142
1,1,3,2,2,143
5,5,4,5,5,144
5,5,5,5,5,145
5,5,5,5,5,146
5,3,4,3,4,147
5,2,5,3,4,148
5,2,3,2,3,149
1,1,3,1,1,150
5,5,4,5,5,151
5,5,4,5,5,152
1,1,2,2,2,153
1,1,2,1,1,154
1,1,4,3,3,155
5,5,5,5,5,156
5,5,4,5,5,157
5,5,4,5,5,158
1,1,3,3,2,159
5,5,5,5,5,160
5,5,4,5,5,161
1,1,3,1,1,162
5,5,5,5,5,163
5,5,4,5,5,164
1,1,3,2,2,165
5,5,5,5,5,166
5,5,4,5,5,167
5,5,5,5,5,168
1,1,3,3,3,169
5,5,4,5,5,170
5,5,4,5,5,171
1,1,4,3,4,172
5,5,4,5,5,173
1,1,3,2,3,174
1,2,3,2,2,175
1,1,3,1,1,176
1,1,4,2,3,177
5,5,5,5,5,178
5,5,4,5,5,179
5,5,4,5,5,180
1,1,2,1,1,181
1,1,3,2,2,182
5,4,4,4,5,183
1,1,3,2,2,184
5,5,5,5,5,185
1,1,2,1,1,186
5,5,4,5,5,187
1,1,4,4,2,188
5,5,4,4,5,189
5,5,4,5,5,190
5,5,4,5,5,191
1,1,2,1,1,192
5,5,4,5,5,193
5,5,4,5,5,194
5,5,5,5,5,195
5,4,4,4,4,196
5,5,4,5,5,197
1,1,3,2,2,198
1,1,4,3,3,199
5,5,4,5,5,200
1,1,2,1,2,201
5,5,5,5,5,202
5,5,4,5,5,203
5,5,4,5,5,204
1,1,2,2,2,205
1,1,4,4,4,206
5,5,4,5,5,207
5,5,4,5,5,208
1,1,3,1,1,209
5,5,4,5,5,210
5,5,4,5,5,211
1,1,4,3,2,212
5,5,5,5,5,213
1,1,2,1,1,214
5,5,4,5,5,215
5,5,5,5,5,216
5,5,5,5,5,217
5,5,5,5,5,218
5,5,4,5,5,219
5,5,4,5,5,220
5,5,5,5,5,221
5,5,4,5,5,222
5,5,4,5,5,223
5,5,5,5,5,224
5,5,4,5,5,225
5,5,4,5,5,226
5,5,4,5,5,227
1,1,3,2,2,228
5,4,4,4,5,229
5,5,4,5,5,230
5,5,5,5,5,231
1,2,3,2,2,232
5,5,4,5,5,233
1,2,3,3,3,234
1,1,2,1,2,235
1,1,4,2,1,236
5,5,5,5,5,237
4,5,4,5,5,238
5,5,5,5,5,239
1,1,4,3,2,240
1,1,3,1,1,241
1,1,4,2,2,242
5,4,4,4,5,243
5,5,5,5,5,244
1,2,3,2,2,245
5,5,4,5,5,246
5,5,5,5,5,247
5,5,5,5,5,248
5,5,4,5,5,249
