row_idx,question,answer,response,is_correct
0,جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں۔ وہ ہر صبح ناشتے میں تین انڈے کھاتی ہے اور اپنے دوستوں کے لیے روزانہ چار انڈوں سے مفن بناتی ہے۔ باقی بچ جانے والے انڈے وہ کسانوں کی منڈی میں روزانہ 2 ڈالر فی تازہ انڈے کے حساب سے بیچتی ہے۔ وہ کسانوں کی منڈی سے روزانہ کتنے ڈالر کماتی ہے؟,18,"جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں۔ وہ ہر صبح ناشتے میں تین انڈے کھاتی ہے، جس کے لیے وہ 3 انڈے استعمال کرتی ہے۔ پھر وہ اپنے دوستوں کے لیے روزانہ چار انڈوں سے مفن بناتی ہے، جس کے لیے وہ 4 انڈے استعمال کرتی ہے۔

تین انڈے + چار انڈے = 7 انڈے استعمال ہوتے ہیں۔

اب جینیٹ کے پاس 16 انڈے ہیں - 7 انڈے استعمال ہوئے = 9 انڈے باقی ہیں۔

وہ کسانوں کی منڈی سے روزانہ 2 ڈالر فی تازہ انڈے کے حساب سے بیچتی ہے۔ لہذا، وہ 9 انڈوں سے 2 ڈالر فی انڈے کے حساب سے 9 * 2 = 18 ڈالر کماتی ہے۔",True
1,ایک چوغہ بنانے میں نیلے فائبر کے 2 تھان اور اُس سے آدھا سفید فائبر لگتا ہے۔ اِسے بنانے کے لیے کُل کتنے تھان درکار ہوں گے؟,3,"چوغے بنانے کے لیے نیلے فائبر کے 2 تھان اور اُس سے آدھا سفید فائبر لگتا ہے۔ یہاں سے یہ سمجھ آتی ہے کہ 2 تھان کے نیلے فائبر کے ساتھ، آدھا سفید فائبر لگایا جائے گا، یعنی 1/2 * 2 = 1 تھان سفید فائبر۔

چوغے کے لیے نیلے اور سفید فائبر دونوں ضروری ہیں، لہذا نیلے فائبر کے 2 تھان ہیں اور سفید فائبر کے 1 تھان۔

چوغے بنانے کے لیے کُل کتنے تھان درکار ہوں گے؟ جواب ہے 2 + 1 = 3 تھان۔",True
2,"جوش نے ایک گھر کی مرمت کر کے اسے بیچنے کا کام آزمانے کا فیصلہ کیا۔ اُس نے 80,000 ڈالر میں ایک گھر خریدا اور پھر اُس کی مرمت پر 50,000 ڈالر لگائے۔ اس سے گھر کی مالیت میں 150 فیصد اضافہ ہوگیا۔ اُسے کتنا منافع ہوا؟",70000,"جوش نے گھر کی خریداری کے بعد اس کی مرمت پر 50,000 ڈالر لگائے، جو کہ اس کی مالیت میں 80,000 ڈالر سے 150 فیصد اضافہ کرتی ہے۔

اضافہ کی شرح کو فیصد میں تبدیل کرنا: 150 / 100 = 1.5

اب، اضافہ کی شرح کو گھر کی خریداری کی مالیت پر لگاتار کریں:

150% کی اضافہ کی شرح * گھر کی خریداری کی مالیت (80,000 ڈالر) = (1.5 * 80,000) = 120,000 ڈالر

اب، گھر کی خریداری کی مالیت (80,000 ڈالر) اور مرمت کے بعد کی مالیت (120,000 ڈالر) کو گھر کی بیچنے کی قیمت (120,000 ڈالر) سے گھٹائیں:

120,000 (مرمت کے بعد کی مالیت) - 80,000 (خریداری کی مالیت) - 50,000 (مرمت کا खरچ) = 120,000 - 80,000 - 50,000 = -10,000

جوش نے گھر کی مرمت کے بعد اسے بیچنے کے لئے 10,000 ڈالر کا نقصان ہوا۔",False
3,جیمز ہفتے میں 3 بار 3 سپرنٹ دوڑنے کا فیصلہ کرتا ہے۔ وہ ہر سپرنٹ میں 60 میٹر دوڑتا ہے۔ وہ ہفتے میں کل کتنے میٹر دوڑتا ہے؟,540,جیمز ہر سپرنٹ میں 60 میٹر دوڑتا ہے اور وہ ہفتے میں 3 بار سپرنٹ دوڑتا ہے، اس لیے وہ ہر ہفتے 3 * 60 = 180 میٹر دوڑتا ہے۔,False
4,وینڈی ہر روز اپنی ہر مرغی کو صحت مند رکھنے کے لیے تین کپ ملی جلی خوراک کھلاتی ہے، جس میں بیج، کیڑے اور سبزیاں شامل ہوتی ہیں۔ وہ مرغیوں کو یہ خوراک دن میں تین الگ الگ حصوں میں دیتی ہے۔ صبح کے وقت، وہ اپنی مرغیوں کے غول کو 15 کپ خوراک دیتی ہے۔ دوپہر میں، وہ انہیں مزید 25 کپ خوراک دیتی ہے۔ اگر وینڈی کے پاس 20 مرغیاں ہوں، تو اسے دن کی آخری خوراک میں انہیں کتنے کپ خوراک دینے کی ضرورت ہے؟,20,"وہ صبح کے وقت اپنی مرغیوں کے غول کو 15 کپ خوراک دیتی ہے، اور دوپہر میں مزید 25 کپ خوراک دیتی ہے، اس لیے وہ صبح اور دوپہر میں اپنی مرغیوں کو کہاں کپ خوراک دیتی ہے؟ 15 + 25 = 40 کپ خوراک۔

اب، وینڈی اپنی مرغیوں کو دن میں تین الگ الگ حصوں میں خوراک دیتی ہے، لہذا وہ صبح اور دوپہر میں اپنی مرغیوں کو کہاں کپ خوراک دیتی ہے؟ 40 کپ خوراک، لیکن اس کے پاس 20 مرغیاں ہیں، اس لیے وہ صبح اور دوپہر میں ہر مرغی کو 40/20 = 2 کپ خوراک دیتی ہے۔

اس لیے، صبح اور دوپہر میں، وہ ہر مرغی کو 2 کپ خوراک دیتی ہے، اور وہ صبح اور دوپہر میں ہر مرغی کو 2 کپ خوراک دیتی ہے، لہذا وہ صبح اور دوپہر میں ہر مرغی کو 2 کپ خوراک دیتی ہے، اور وہ صبح اور دوپہر میں ہر مرغی کو 2 کپ خوراک دیتی ہے۔

تین الگ الگ حصوں میں دن کی خوراک ہے، لہذا دن کی آخری خوراک میں، وہ ہر مرغی کو مزید 3 کپ خوراک دیتی ہے۔

اس لیے، وینڈی کے پاس 20 مرغیاں ہیں، اور دن کی آخری خوراک میں، وہ ہر مرغی کو مزید 3 کپ خوراک دیتی ہے، اس لیے وہ دن کی آخری خوراک میں انہیں 20 * 3 = 60 کپ خوراک دینے کی ضرورت ہے۔",False
5,کیلر اپنے نئے اپارٹمنٹ کے لئے شیشے خریدنے کے لئے دکان گیا. ایک شیشے کی قیمت 5 ڈالر ہے، لیکن ہر دوسرے شیشے کی قیمت صرف 60 فیصد ہے. کیلر 16 شیشے خریدنا چاہتا ہے. اسے ان کے لئے کتنا ادا کرنے کی ضرورت ہے؟,64,"اگر کیلر 16 شیشے خریدنا چاہتا ہے، تو اسے 8 شیشے 5 ڈالر میں اور 8 شیشے 60 فیصد کی قیمت میں خریدنا ہوگا۔

60 فیصد کی قیمت 5 ڈالر کے 60 فیصد ہے، جو 3 ڈالر ہے۔

لہذا، کیلر کو 8 شیشے 5 ڈالر میں اور 8 شیشے 3 ڈالر میں خریدنا ہوگا۔

8 شیشے 5 ڈالر میں 8 * 5 = 40 ڈالر میں ہوں گے۔
8 شیشے 3 ڈالر میں 8 * 3 = 24 ڈالر میں ہوں گے۔

کل قیمت 40 + 24 = 64 ڈالر ہوگی۔

لہذا، کیلر کو اپنے 16 شیشوں کے لئے 64 ڈالر ادا کرنے کی ضرورت ہوگی۔",True
6,ٹولوس کے پاس چارلسٹن سے دوگنی بھیڑیں ہیں۔ چارلسٹن کے پاس سیئٹل سے چار گنا زیادہ بھیڑیں ہیں۔ اگر سیئٹل کے پاس 20 بھیڑیں ہیں، تو ٹولوس، چارلسٹن اور سیئٹل تینوں کے پاس ملا کر کل کتنی بھیڑیں ہوں گی؟,260,"یہاں سے شروع کرتے ہیں:

 سیئٹل کے پاس 20 بھیڑیں ہیں۔

 چارلسٹن کے پاس سیئٹل سے چار گنا زیادہ بھیڑیں ہیں، یعنی 4 * 20 = 80 بھیڑیں ہیں۔

 ٹولوس کے پاس چارلسٹن سے دوگنی بھیڑیں ہیں، یعنی 2 * 80 = 160 بھیڑیں ہیں۔

 تینوں شہروں کے پاس مل کر کل کتنی بھیڑیں ہیں؟ 20 (سیئٹل) + 80 (چارلسٹن) + 160 (ٹولوس) = 260 بھیڑیں ہیں۔

 لہذا، ٹولوس، چارلسٹن اور سیئٹل تینوں کے پاس مل کر کل 260 بھیڑیں ہیں۔",True
7,کارلا ایک 200 جی بی کی فائل ڈاؤن لوڈ کر رہی ہے۔ عام طور پر وہ 2 جی بی فی منٹ کی رفتار سے ڈاؤن لوڈ کر سکتی ہے، لیکن جب ڈاؤن لوڈ 40 فیصد مکمل ہوا، تو ونڈوز نے اپ ڈیٹس انسٹال کرنے کے لیے کمپیوٹر کو ری اسٹارٹ کر دیا، جس میں 20 منٹ لگے۔ اس کے بعد کارلا کو ڈاؤن لوڈ شروع سے دوبارہ کرنا پڑا۔ فائل کو ڈاؤن لوڈ کرنے میں کل کتنا وقت لگے گا؟,160,"یہاں ایک تجزیہ ہے:

1. ڈاؤن لوڈ شروع ہونے کے بعد، کارلا کو 40 فیصد فائل ڈاؤن لوڈ کرنے میں 40/2 = 20 منٹ لگے گا۔
2. پھر، ونڈوز نے اپ ڈیٹس انسٹال کرنے کے لیے کمپیوٹر کو ری اسٹارٹ کر دیا، جس میں 20 منٹ لگے۔
3. اب، کارلا کو دوبارہ ڈاؤن لوڈ شروع کرنا پڑا، لیکن اب فائل کا صرف 60 فیصد باقی ہے (یعنی 40 فیصد ڈاؤن لوڈ ہو چکا ہے)۔
4. لہذا، کارلا کو 60/2 = 30 منٹ میں باقی 60 فیصد فائل ڈاؤن لوڈ کرنا پڑے گا۔

اب، کل وقت کی گنتی کرنا:
20 منٹ (پہلی ڈاؤن لوڈ) + 20 منٹ (ری اسٹارٹ) + 30 منٹ (دوبارہ ڈاؤن لوڈ) = 70 منٹ

یہاں سے، آپ ڈاؤن لوڈ کی مجموعی مدت کو حاصل کرسکتے ہیں۔",False
8,جان 3 گھنٹے تک 60 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، پھر اسے احساس ہوتا ہے کہ وہ گھر پر کوئی بہت اہم چیز بھول گیا ہے، اس لیے وہ واپس مڑ جاتا ہے۔ وہ 4 گھنٹے میں گھر پہنچنے کی کوشش کرتا ہے، لیکن پہلے دو گھنٹے ٹریفک جام میں پھنسا رہتا ہے۔ اس کے بعد وہ اگلا آدھا گھنٹہ 30 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، اور پھر 4 گھنٹے کے بقیہ وقت میں 80 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے۔ ان 4 گھنٹوں کے اختتام پر وہ گھر سے کتنی دور ہے؟,45,"جان 3 گھنٹوں تک 60 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، اس لیے وہ 3 گھنٹوں میں 60 * 3 = 180 میل تک جاتا ہے۔

پھر وہ 4 گھنٹوں میں گھر پہنچنے کی کوشش کرتا ہے، لیکن پہلے دو گھنٹوں ٹریفک جام میں پھنسا رہتا ہے، اس لیے وہ 2 گھنٹوں میں 0 میل تک جاتا ہے۔

اس کے بعد وہ اگلا آدھا گھنٹہ 30 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، اس لیے وہ 0.5 گھنٹے میں 30 * 0.5 = 15 میل تک جاتا ہے۔

اب جان 4 گھنٹوں کے بقیہ وقت میں 80 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، جس کا مطلب ہے کہ وہ 2 گھنٹوں میں 80 * 2 = 160 میل تک جاتا ہے۔

اب جان گاڑی چلاتے ہوئے کہاں ہے؟ وہ 3 گھنٹوں میں 180 میل تک جاتا ہے، پھر 0 میل 2 گھنٹوں میں، پھر 15 میل 0.5 گھنٹے میں، اور پھر 160 میل 2 گھنٹوں میں۔

آب جان گاڑی چلاتے ہوئے کہاں ہے؟ 180 + 0 + 15 + 160 = 355 میل۔

اس لیے جان گھر سے 355 میل دور ہے۔",False
9,الیزا کو ہر ہفتے پہلے 40 گھنٹے کام کرنے کے لیے 10 ڈالر فی گھنٹہ ملتے ہیں۔ اسے اضافی وقت (اوور ٹائم) کام کرنے پر اپنی معمول کی اجرت کا 1.2 گنا معاوضہ بھی ملتا ہے۔ اگر الیزا نے اس ہفتے 45 گھنٹے کام کیا، تو اس ہفتے اس کی کل کمائی کتنی ہوگی؟,460,"الیزا کو ہر ہفتے 40 گھنٹے کام کرنے کے لیے 10 ڈالر فی گھنٹہ ملتے ہیں، لہذا اس کی ہفتہ وار کمائی 40 گھنٹے * 10 ڈالر = 400 ڈالر ہوگی۔

الیزا نے اس ہفتے 45 گھنٹے کام کیے، جو 40 گھنٹوں سے 5 گھنٹوں زیادہ ہیں۔ الیزا کو اضافی وقت (اوور ٹائم) کام کرنے پر اپنی معمول کی اجرت کا 1.2 گنا معاوضہ ملتا ہے، لہذا اسے اضافی 5 گھنٹوں کے لیے 10 ڈالر * 1.2 = 12 ڈالر فی گھنٹہ ملے گا۔

الیزا کے پاس 5 گھنٹوں کے اضافی کام کے لیے 12 ڈالر فی گھنٹہ * 5 گھنٹے = 60 ڈالر ہیں۔

الیزا کے پاس ہفتہ وار 400 ڈالر + اضافی 60 ڈالر = 460 ڈالر ہیں۔

لہذا، الیزا کا کل ہفتہ وار معاوضہ 460 ڈالر ہوگا۔",True
