question,answer,response,is_correct
جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں۔ وہ ہر صبح ناشتے میں تین انڈے کھاتی ہے اور اپنے دوستوں کے لیے روزانہ چار انڈوں سے مفن بناتی ہے۔ باقی بچ جانے والے انڈے وہ کسانوں کی منڈی میں روزانہ 2 ڈالر فی تازہ انڈے کے حساب سے بیچتی ہے۔ وہ کسانوں کی منڈی سے روزانہ کتنے ڈالر کماتی ہے؟,18,"جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں، لیکن وہ ہر روز تین انڈے کھاتی ہے، اس لیے اسے 16 انڈے - 3 انڈے = <<16-3=13>>13 انڈے بچتے ہیں۔
وہ اپنے دوستوں کے لیے روزانہ چار انڈوں سے مفن بناتی ہے، اس لیے اسے 13 انڈے - 4 انڈے = <<13-4=9>>9 انڈے بچتے ہیں۔
وہ کسانوں کی منڈی میں روزانہ 2 ڈالر فی انڈے کے حساب سے انڈے بیچتی ہے، اس لیے وہ کسانوں کی منڈی سے روزانہ 9 انڈے * $2/انڈا = $<<9*2=18>>18 کماتی ہے۔",True
ایک چوغہ بنانے میں نیلے فائبر کے 2 تھان اور اُس سے آدھا سفید فائبر لگتا ہے۔ اِسے بنانے کے لیے کُل کتنے تھان درکار ہوں گے؟,3,"سفید فائبر کے 2/2 = <<2/2=1>>1 تھان درکار ہیں۔
کُل 2 + 1 = <<2+1=3>>3 تھان درکار ہیں۔",True
"جوش نے ایک گھر کی مرمت کر کے اسے بیچنے کا کام آزمانے کا فیصلہ کیا۔ اُس نے 80,000 ڈالر میں ایک گھر خریدا اور پھر اُس کی مرمت پر 50,000 ڈالر لگائے۔ اس سے گھر کی مالیت میں 150 فیصد اضافہ ہوگیا۔ اُسے کتنا منافع ہوا؟",70000,"گھر کی مرمت کے بعد گھر کی قیمت میں 80000*150/100 = $<<80000*150/100=120000>>120000 کا اضافہ ہوا۔
لہذا اس کی قیمت 80000+120000 = $<<80000+120000=200000>>200000 ہے۔
اس کے گھر کی قیمت پر خرچ ہونے والی کُل رقم 80000+50000 = $<<80000+50000=130000>>130000 ہے۔
اس طرح، اس نے 200000-130000 = $<<200000-130000=70000>>70000 کا منافع کمایا۔",True
جیمز ہفتے میں 3 بار 3 سپرنٹ دوڑنے کا فیصلہ کرتا ہے۔ وہ ہر سپرنٹ میں 60 میٹر دوڑتا ہے۔ وہ ہفتے میں کل کتنے میٹر دوڑتا ہے؟,540,وہ 3*60=<<3*60=180>>180 میٹر دوڑتا ہے۔,False
وینڈی ہر روز اپنی ہر مرغی کو صحت مند رکھنے کے لیے تین کپ ملی جلی خوراک کھلاتی ہے، جس میں بیج، کیڑے اور سبزیاں شامل ہوتی ہیں۔ وہ مرغیوں کو یہ خوراک دن میں تین الگ الگ حصوں میں دیتی ہے۔ صبح کے وقت، وہ اپنی مرغیوں کے غول کو 15 کپ خوراک دیتی ہے۔ دوپہر میں، وہ انہیں مزید 25 کپ خوراک دیتی ہے۔ اگر وینڈی کے پاس 20 مرغیاں ہوں، تو اسے دن کی آخری خوراک میں انہیں کتنے کپ خوراک دینے کی ضرورت ہے؟,20,"وینڈی کی مرغیوں کو 15 کپ + 25 کپ = <<15+25=40>>40 کپ خوراک مل چکی ہے۔
وینڈی کی مرغیوں کو مزید 15 کپ + 25 کپ = <<15+25=40>>40 کپ خوراک کی ضرورت ہے۔
وینڈی کی مرغیوں کو 15 کپ + 25 کپ + 15 کپ = <<15+25+15=55>>55 کپ خوراک ملے گی۔
وینڈی کی مرغیوں کو 15 کپ + 25 کپ + 15 کپ = <<15+25+15=55>>55 کپ خوراک ملے گی۔",False
کیلر اپنے نئے اپارٹمنٹ کے لئے شیشے خریدنے کے لئے دکان گیا. ایک شیشے کی قیمت 5 ڈالر ہے، لیکن ہر دوسرے شیشے کی قیمت صرف 60 فیصد ہے. کیلر 16 شیشے خریدنا چاہتا ہے. اسے ان کے لئے کتنا ادا کرنے کی ضرورت ہے؟,64,"کیلر 16 شیشے خریدتا ہے، لہذا وہ 16/2=<<16/2=8>>8 شیشے خریدتا ہے جن کی قیمت کم ہے۔
کیلر 8 شیشے خریدتا ہے جن کی قیمت کم ہے، لہذا ان کی قیمت 8*5*60/100=$<<8*5*60/100=24>>24 ہے۔
کیلر 8 شیشے خریدتا ہے جن کی قیمت زیادہ ہے، لہذا ان کی قیمت 8*5=$<<8*5=40>>40 ہے۔
کیلر کو اپنی 16 شیشوں کے لیے کل 24+40=$<<24+40=64>>64 ادا کرنے ہوں گے۔",True
ٹولوس کے پاس چارلسٹن سے دوگنی بھیڑیں ہیں۔ چارلسٹن کے پاس سیئٹل سے چار گنا زیادہ بھیڑیں ہیں۔ اگر سیئٹل کے پاس 20 بھیڑیں ہیں، تو ٹولوس، چارلسٹن اور سیئٹل تینوں کے پاس ملا کر کل کتنی بھیڑیں ہوں گی؟,260,"چارلسٹن میں 20 بھیڑوں کا 4 گنا = 4*20 = <<4*20=80>>80 بھیڑیں
ٹولوس میں 80 بھیڑوں کا 2 گنا = 2*80 = <<2*80=160>>160 بھیڑیں
ٹولوس، چارلسٹن اور سیئٹل میں 160+80+20 = <<160+80+20=260>>260 بھیڑیں ہیں۔",True
کارلا ایک 200 جی بی کی فائل ڈاؤن لوڈ کر رہی ہے۔ عام طور پر وہ 2 جی بی فی منٹ کی رفتار سے ڈاؤن لوڈ کر سکتی ہے، لیکن جب ڈاؤن لوڈ 40 فیصد مکمل ہوا، تو ونڈوز نے اپ ڈیٹس انسٹال کرنے کے لیے کمپیوٹر کو ری اسٹارٹ کر دیا، جس میں 20 منٹ لگے۔ اس کے بعد کارلا کو ڈاؤن لوڈ شروع سے دوبارہ کرنا پڑا۔ فائل کو ڈاؤن لوڈ کرنے میں کل کتنا وقت لگے گا؟,160,"کارلا کو ڈاؤن لوڈ شروع کرنے سے پہلے 40/100*200 = <<40/100*200=80>>80 جی بی فائل ملی۔
یہ 80/2 = <<80/2=40>>40 منٹ میں مکمل ہوئی۔
جب وہ ڈاؤن لوڈ شروع کرتی ہے تو وہ پہلے 40 منٹ کے لیے 2 جی بی فی منٹ کی رفتار سے ڈاؤن لوڈ کرتی ہے، لیکن پھر وہ 40 منٹ میں 80 جی بی ڈاؤن لوڈ کرنے کے بعد ری اسٹارٹ کر جاتی ہے۔
اس کے بعد اسے باقی 200-80 = <<200-80=120>>120 جی بی ڈاؤن لوڈ کرنے کی ضرورت ہے۔
اسے 120/2 = <<120/2=60>>60 منٹ لگیں گے۔
اس کا مطلب ہے کہ ڈاؤن لوڈ 40+60+20 = <<40+60+20=120>>120 منٹ میں مکمل ہو گی۔",False
جان 3 گھنٹے تک 60 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، پھر اسے احساس ہوتا ہے کہ وہ گھر پر کوئی بہت اہم چیز بھول گیا ہے، اس لیے وہ واپس مڑ جاتا ہے۔ وہ 4 گھنٹے میں گھر پہنچنے کی کوشش کرتا ہے، لیکن پہلے دو گھنٹے ٹریفک جام میں پھنسا رہتا ہے۔ اس کے بعد وہ اگلا آدھا گھنٹہ 30 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، اور پھر 4 گھنٹے کے بقیہ وقت میں 80 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے۔ ان 4 گھنٹوں کے اختتام پر وہ گھر سے کتنی دور ہے؟,45,"پہلے گھر سے دوری کا حساب لگائیں: 60 میل فی گھنٹہ * 3 گھنٹے = <<60*3=180>>180 میل
پھر ٹریفک جام کے دوران میں گھر سے دوری کا حساب لگائیں: 40 میل فی گھنٹہ * 2 گھنٹے = <<40*2=80>>80 میل
پھر اگلے آدھے گھنٹے میں گھر سے دوری کا حساب لگائیں: 30 میل فی گھنٹہ * 0.5 گھنٹے = <<30*0.5=15>>15 میل
پھر آخری آدھے گھنٹے میں گھر سے دوری کا حساب لگائیں: 80 میل فی گھنٹہ * 2 گھنٹے = <<80*2=160>>160 میل
پھر تمام گھر سے دوریوں کو جمع کریں: 180 میل + 80 میل + 15 میل + 160 میل = <<180+80+15+160=435>>435 میل",False
الیزا کو ہر ہفتے پہلے 40 گھنٹے کام کرنے کے لیے 10 ڈالر فی گھنٹہ ملتے ہیں۔ اسے اضافی وقت (اوور ٹائم) کام کرنے پر اپنی معمول کی اجرت کا 1.2 گنا معاوضہ بھی ملتا ہے۔ اگر الیزا نے اس ہفتے 45 گھنٹے کام کیا، تو اس ہفتے اس کی کل کمائی کتنی ہوگی؟,460,"اگر الیزا نے 45 گھنٹے کام کیا، تو اس نے 45-40 = <<45-40=5>>5 گھنٹے اوور ٹائم کام کیا۔
اپنی معمول کی اجرت کا 1.2 گنا، یا 10*1.2 = $<<10*1.2=12>>12 فی گھنٹہ کے حساب سے، اس نے اوور ٹائم کے 5 گھنٹوں کے لیے 12*5 = $<<12*5=60>>60 کمائے۔
اپنے معمول کے 40 گھنٹوں کے لیے، اس نے 40*10 = $<<40*10=400>>400 کمائے۔
اس کی کل کمائی 400+60 = $<<400+60=460>>460 ہے۔",True
