correctness,reasoning,UrduLanguageFluency,clarity,completeness,row_idx
1,1,4,3,2,0
3,2,4,3,3,1
1,1,3,3,3,2
5,5,4,5,5,3
1,1,3,2,1,4
1,1,3,2,2,5
5,5,4,5,5,6
1,1,2,1,1,7
1,1,3,1,1,8
1,2,4,3,3,9
1,1,3,2,2,10
1,1,2,2,2,11
1,2,1,1,1,12
1,1,1,1,1,13
1,1,3,1,2,14
3,2,4,3,3,15
1,2,4,4,3,16
1,1,3,2,2,17
3,3,2,3,5,18
1,1,3,2,2,19
1,1,3,1,1,20
1,1,3,2,3,21
1,1,2,1,1,22
5,5,5,5,5,23
1,2,3,2,2,24
1,1,2,1,1,25
5,5,5,5,5,26
5,5,4,4,5,27
1,1,3,2,2,28
1,1,3,2,2,29
1,1,3,2,1,30
1,2,4,2,4,31
5,5,4,4,5,32
5,2,3,3,3,33
5,5,4,4,5,34
1,1,2,1,1,35
1,1,2,3,2,36
1,1,4,3,2,37
1,1,2,1,1,38
1,1,2,1,1,39
5,5,4,4,5,40
1,1,2,1,1,41
1,1,4,2,1,42
1,1,2,1,1,43
1,1,2,2,1,44
1,1,2,1,1,45
1,1,3,2,2,46
1,1,2,2,2,47
5,5,4,5,5,48
1,1,3,2,2,49
5,5,5,5,5,50
1,1,2,1,1,51
1,1,2,1,1,52
1,1,4,2,2,53
1,1,2,1,1,54
5,5,4,5,5,55
1,1,4,2,2,56
5,4,3,4,5,57
5,5,4,5,5,58
5,5,5,5,5,59
1,1,3,1,1,60
5,5,4,5,5,61
1,1,2,1,1,62
1,1,3,2,2,63
1,1,3,1,1,64
1,1,4,4,2,65
5,5,4,5,5,66
1,1,3,2,2,67
1,1,3,1,1,68
1,1,1,1,1,69
1,1,3,2,2,70
5,5,5,5,5,71
5,5,3,5,5,72
5,5,4,5,5,73
1,2,3,3,2,74
1,1,3,2,2,75
1,1,2,1,1,76
5,5,4,5,5,77
1,1,2,1,1,78
5,4,4,5,5,79
5,5,5,5,5,80
5,5,5,5,5,81
5,5,4,5,5,82
5,5,4,5,5,83
1,1,2,1,1,84
1,1,3,2,2,85
1,1,4,3,2,86
1,1,4,2,2,87
1,1,1,1,1,88
1,1,3,2,2,89
5,5,4,5,5,90
1,1,3,1,1,91
1,1,2,1,1,92
1,1,2,1,1,93
1,1,4,3,2,94
5,5,4,5,5,95
5,5,5,5,5,96
1,1,2,1,1,97
3,1,3,1,2,98
5,5,4,5,5,99
1,1,3,2,2,100
5,5,5,5,5,101
1,1,2,2,1,102
1,1,3,2,1,103
1,1,2,1,2,104
5,5,4,5,5,105
1,1,2,1,1,106
1,1,3,2,1,107
1,1,2,1,1,108
1,1,3,1,1,109
5,5,4,5,5,110
1,1,4,2,2,111
1,1,2,1,1,112
5,5,4,5,5,113
1,1,2,1,1,114
1,1,3,1,1,115
1,1,3,2,2,116
5,5,4,5,5,117
1,1,2,2,2,118
1,1,3,2,1,119
5,5,4,5,5,120
5,5,4,5,5,121
1,1,1,1,1,122
5,5,4,5,5,123
3,1,3,2,2,124
1,1,3,1,1,125
1,1,3,2,1,126
5,5,4,5,5,127
1,2,4,4,5,128
1,1,3,2,2,129
1,1,2,1,1,130
5,5,4,5,5,131
1,1,2,1,1,132
1,1,4,2,4,133
5,5,4,5,5,134
1,1,4,4,2,135
5,5,4,5,5,136
1,1,2,3,5,137
1,1,3,1,1,138
1,2,4,4,3,139
1,1,4,2,2,140
1,1,3,1,1,141
1,1,3,3,2,142
1,1,3,2,1,143
1,1,1,1,1,144
5,5,4,5,5,145
5,5,4,5,5,146
1,1,3,2,1,147
1,1,2,1,1,148
1,1,3,2,2,149
1,1,2,1,1,150
1,1,2,1,2,151
1,1,3,1,1,152
1,1,1,1,1,153
1,1,1,1,1,154
1,1,4,4,2,155
5,5,4,5,5,156
1,1,2,1,1,157
5,5,4,5,5,158
1,1,3,1,1,159
5,5,4,5,5,160
1,1,3,3,2,161
1,1,2,2,1,162
1,1,2,2,2,163
1,1,3,1,1,164
5,5,4,5,5,165
1,1,2,1,1,166
5,4,4,4,5,167
1,1,2,1,1,168
1,1,2,1,1,169
1,1,3,2,2,170
5,5,4,5,5,171
1,1,1,1,1,172
1,1,2,1,1,173
1,1,3,2,2,174
1,1,2,1,1,175
5,5,3,5,5,176
1,1,4,1,2,177
5,5,5,5,5,178
5,5,5,5,5,179
5,5,4,5,5,180
1,1,4,3,2,181
1,1,3,2,2,182
1,1,3,2,2,183
1,1,3,2,1,184
5,5,5,5,5,185
1,1,2,1,1,186
1,1,4,3,2,187
1,1,2,1,1,188
1,2,4,3,4,189
5,5,4,5,5,190
5,5,5,5,5,191
5,5,4,5,5,192
1,1,3,2,2,193
5,5,3,5,5,194
5,5,5,5,5,195
5,5,4,5,5,196
1,2,4,4,4,197
1,1,2,1,1,198
1,2,4,3,2,199
5,5,5,5,5,200
1,2,3,2,2,201
1,1,2,1,1,202
1,1,3,2,2,203
5,5,4,5,5,204
1,1,2,1,1,205
5,5,3,4,5,206
1,1,3,2,4,207
5,5,4,5,5,208
1,1,2,1,1,209
1,3,4,4,3,210
1,1,4,2,2,211
1,1,3,2,2,212
5,5,4,5,5,213
1,1,2,1,1,214
1,1,4,1,1,215
1,1,3,2,1,216
1,1,3,1,1,217
1,2,4,4,4,218
1,2,3,3,3,219
5,5,4,5,5,220
5,5,4,5,5,221
1,1,3,2,1,222
1,1,4,2,2,223
5,5,4,5,5,224
4,2,4,2,3,225
1,1,4,2,2,226
1,2,3,2,2,227
5,5,4,5,5,228
5,4,3,4,4,229
5,5,4,5,5,230
5,5,3,5,5,231
1,1,3,2,1,232
1,4,3,4,4,233
1,1,2,1,1,234
1,1,2,1,1,235
1,1,2,2,2,236
1,1,1,1,1,237
1,1,3,2,1,238
5,5,5,5,5,239
5,5,4,5,5,240
1,1,1,1,1,241
1,2,4,3,2,242
1,1,2,1,1,243
1,1,2,2,2,244
1,1,2,1,1,245
1,1,2,1,1,246
5,5,5,5,5,247
1,1,1,1,1,248
1,1,3,1,1,249
