question,answer,response,is_correct
جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں۔ وہ ہر صبح ناشتے میں تین انڈے کھاتی ہے اور اپنے دوستوں کے لیے روزانہ چار انڈوں سے مفن بناتی ہے۔ باقی بچ جانے والے انڈے وہ کسانوں کی منڈی میں روزانہ 2 ڈالر فی تازہ انڈے کے حساب سے بیچتی ہے۔ وہ کسانوں کی منڈی سے روزانہ کتنے ڈالر کماتی ہے؟,18," جینیٹ کی بطخ ہر دن 16 - 3 = <<16-3=13>>13 انڈے رکھتی ہے۔  
     وہ مزید 13 - 4 = <<13-4=9>>9 انڈے فروخت کرتی ہے۔  
     اس طرح، وہ کل 3 + 4 + 9 = <<3+4+9=16>>16 انڈے فروخت کرتی ہے۔  
     لہذا، وہ 16 * $2 = $<<16*2=32>>32 روزانہ کماتی ہے۔
#### 32",False
ایک چوغہ بنانے میں نیلے فائبر کے 2 تھان اور اُس سے آدھا سفید فائبر لگتا ہے۔ اِسے بنانے کے لیے کُل کتنے تھان درکار ہوں گے؟,3," کل 3 تھان درکار ہوں گے کیونکہ 2 + 0.5 = <<2+.5=2.5>>2.5  
     2.5 تھان کو 3 تک مکمل عدد میں تبدیل کرنا ہوگا، جس کے لیے 3-2 = <<3-2=1>>1 تھان اضافی درکار ہیں
#### 1",True
"جوش نے ایک گھر کی مرمت کر کے اسے بیچنے کا کام آزمانے کا فیصلہ کیا۔ اُس نے 80,000 ڈالر میں ایک گھر خریدا اور پھر اُس کی مرمت پر 50,000 ڈالر لگائے۔ اس سے گھر کی مالیت میں 150 فیصد اضافہ ہوگیا۔ اُسے کتنا منافع ہوا؟",70000," جوش کو گھر کی فروخت سے $<<80000*1.5=120000>>120,000 ملے  
اس لیے اس نے کل $<<80000+50000=130000>>130,000 کمائے  
تو اس کا منافع $<<130000-80000=50000>>50,000 تھا
#### 50000",False
جیمز ہفتے میں 3 بار 3 سپرنٹ دوڑنے کا فیصلہ کرتا ہے۔ وہ ہر سپرنٹ میں 60 میٹر دوڑتا ہے۔ وہ ہفتے میں کل کتنے میٹر دوڑتا ہے؟,540," وہ ہر سپرنٹ میں 60 میٹر دوڑتا ہے، لہذا وہ ہفتے میں 3 * 60 = <<3*60=180>>180 میٹر دوڑتا ہے۔  
     جب وہ ہفتے میں 3 بار 3 سپرنٹ دوڑتا ہے تو اس کا مطلب ہوتا ہے کہ وہ 3 * 3 = <<3*3=9>>9 سپرنٹ دوڑتا ہے۔  
     وہ ہر سپرنٹ میں 60 میٹر دوڑتا ہے، لہذا وہ ہفتے میں 60 * 9 = <<60*9=540>>540 میٹر دوڑتا ہے۔
#### 540",True
وینڈی ہر روز اپنی ہر مرغی کو صحت مند رکھنے کے لیے تین کپ ملی جلی خوراک کھلاتی ہے، جس میں بیج، کیڑے اور سبزیاں شامل ہوتی ہیں۔ وہ مرغیوں کو یہ خوراک دن میں تین الگ الگ حصوں میں دیتی ہے۔ صبح کے وقت، وہ اپنی مرغیوں کے غول کو 15 کپ خوراک دیتی ہے۔ دوپہر میں، وہ انہیں مزید 25 کپ خوراک دیتی ہے۔ اگر وینڈی کے پاس 20 مرغیاں ہوں، تو اسے دن کی آخری خوراک میں انہیں کتنے کپ خوراک دینے کی ضرورت ہے؟,20," وینڈی نے اپنی مرغیوں کو کل 60 کپ خوراک دی ہے کیونکہ 15 + 25 = <<15+25=40>>40  
وینڈی کو اپنی مرغیوں کو کل 80 کپ خوراک دینے کی ضرورت ہے کیونکہ 60 × 4/3 = <<60*4/3=80>>80  
وینڈی کو اپنی مرغیوں کو 10 کپ خوراک دینے کی ضرورت ہے کیونکہ 80 - 70 = <<80-70=10>>10
#### 10",False
کیلر اپنے نئے اپارٹمنٹ کے لئے شیشے خریدنے کے لئے دکان گیا. ایک شیشے کی قیمت 5 ڈالر ہے، لیکن ہر دوسرے شیشے کی قیمت صرف 60 فیصد ہے. کیلر 16 شیشے خریدنا چاہتا ہے. اسے ان کے لئے کتنا ادا کرنے کی ضرورت ہے؟,64," کیلر کو 16/2=<<16/2=8>>8 شیشے مل جائیں گے جن کی قیمت 1/3 ہوگی  
اس طرح وہ 8*1/3=$<<8*1/3=.6667>>0.67 ادا کریں گے  
اور باقی 16-8=<<16-8=8>>8 شیشے جن کی قیمت $5 ہوگی  
اس کا مطلب ہے کہ وہ 8*5=$<<8*5=40>>40 ادا کریں گے  
لہذا کل لاگت 40+.67=$<<40+.67=40.67>>40.67 ہوگی
#### 40.67",False
ٹولوس کے پاس چارلسٹن سے دوگنی بھیڑیں ہیں۔ چارلسٹن کے پاس سیئٹل سے چار گنا زیادہ بھیڑیں ہیں۔ اگر سیئٹل کے پاس 20 بھیڑیں ہیں، تو ٹولوس، چارلسٹن اور سیئٹل تینوں کے پاس ملا کر کل کتنی بھیڑیں ہوں گی؟,260," چارلسٹن کے پاس 4 * 20 = <<4*20=80>>80 بھیڑیں ہیں۔  
     ٹولوز کے پاس 2 * 80 = <<2*80=160>>160 بھیڑیں ہیں۔  
     ان تین شہروں کے پاس مل کر 160 + 80 + 20 = <<160+80+20=260>>260 بھیڑیں ہیں۔
#### 260",True
کارلا ایک 200 جی بی کی فائل ڈاؤن لوڈ کر رہی ہے۔ عام طور پر وہ 2 جی بی فی منٹ کی رفتار سے ڈاؤن لوڈ کر سکتی ہے، لیکن جب ڈاؤن لوڈ 40 فیصد مکمل ہوا، تو ونڈوز نے اپ ڈیٹس انسٹال کرنے کے لیے کمپیوٹر کو ری اسٹارٹ کر دیا، جس میں 20 منٹ لگے۔ اس کے بعد کارلا کو ڈاؤن لوڈ شروع سے دوبارہ کرنا پڑا۔ فائل کو ڈاؤن لوڈ کرنے میں کل کتنا وقت لگے گا؟,160," چونکہ ونڈوز نے اپ ڈیٹس انسٹال کرنے کے لیے کمپیوٹر کو ری اسٹارٹ کیا ، لہذا کارلا نے اصل ڈاؤن لوڈ کے مقابلے میں مزید 20/2=<<20/2=10>>10 منٹ ضائع کیے۔  
اس طرح، کارلا کو اصل ڈاؤن لوڈ کے مقابلے میں مزید 10+1 = <<10+1=11>>11 منٹ لگیں گے۔  
لہٰذا، کارلا کو فائل ڈاؤن لوڈ کرنے میں کل 1*11+10 = <<1*11+10=21>>21 منٹ لگیں گے۔
#### 21",False
جان 3 گھنٹے تک 60 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، پھر اسے احساس ہوتا ہے کہ وہ گھر پر کوئی بہت اہم چیز بھول گیا ہے، اس لیے وہ واپس مڑ جاتا ہے۔ وہ 4 گھنٹے میں گھر پہنچنے کی کوشش کرتا ہے، لیکن پہلے دو گھنٹے ٹریفک جام میں پھنسا رہتا ہے۔ اس کے بعد وہ اگلا آدھا گھنٹہ 30 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، اور پھر 4 گھنٹے کے بقیہ وقت میں 80 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے۔ ان 4 گھنٹوں کے اختتام پر وہ گھر سے کتنی دور ہے؟,45," جان نے 2+0.5=<<2+.5=2.5>>2.5 گھنٹے گاڑی چلائی  
اس طرح، اس نے 1*60=<<1*60=60>>60 میل/گھنٹہ سے زیادہ کی رفتار سے گاڑی چلانا شروع کر دی  
تو اس نے 2.5*60=<<2.5*60=150>>150 میل 60 میل/گھنٹہ سے زیادہ کی رفتار سے گاڑی چلاتے ہوئے طے کیے  
اس نے 0.5*30=<<0.5*30=15>>15 میل 30 میل/گھنٹہ کی رفتار سے گاڑی چلاتے ہوئے طے کیے  
اور 2-2.5=<<2-2.5=-0.5>>-0.5 گھنٹے 80 میل/گھنٹہ کی رفتار سے گاڑی چلاتے ہوئے طے کیے  
تو اس نے 80*0.5=40 میل 80 میل/گھنٹہ کی رفتار سے گاڑی چلاتے ہوئے طے کیے  
اس طرح، اس نے کل 150+15+40=<<150+15+40=205>>205 میل سفر کیا  
تو وہ ابھی بھی 60-205=<<60-205=-145>>-145 میل کا فاصلہ طے کرنا باقی ہے  
اس کا مطلب ہے کہ وہ -145/60=<<145/-60=2.41>>2.41 گھنٹے مزید گاڑی چلانے کی کوشش کرے گا  
تو وہ 4+2.41=6.41 گھنٹے تک گاڑی چلاتا ہے  
تو وہ اپنے گھر سے 60*6.41=<<60*6.41=384.6>>384.6 میل دور ہے
#### 384.6",False
الیزا کو ہر ہفتے پہلے 40 گھنٹے کام کرنے کے لیے 10 ڈالر فی گھنٹہ ملتے ہیں۔ اسے اضافی وقت (اوور ٹائم) کام کرنے پر اپنی معمول کی اجرت کا 1.2 گنا معاوضہ بھی ملتا ہے۔ اگر الیزا نے اس ہفتے 45 گھنٹے کام کیا، تو اس ہفتے اس کی کل کمائی کتنی ہوگی؟,460," اس نے 45-40 = <<45-40=5>>5 اوور ٹائم گھنٹے کام کیے  
اس لیے اسے $10 x 5 = $<<10*5=50>>50 اضافی ادا کیے گئے  
اس طرح اس کی کل تنخواہ $10 x 45 + $50 = $<<10*45+50=550>>550 بنتی ہے
#### 550",False
