row_idx,question,answer,response,is_correct
0,جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں۔ وہ ہر صبح ناشتے میں تین انڈے کھاتی ہے اور اپنے دوستوں کے لیے روزانہ چار انڈوں سے مفن بناتی ہے۔ باقی بچ جانے والے انڈے وہ کسانوں کی منڈی میں روزانہ 2 ڈالر فی تازہ انڈے کے حساب سے بیچتی ہے۔ وہ کسانوں کی منڈی سے روزانہ کتنے ڈالر کماتی ہے؟,18,"<reasoning>
جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں۔  
وہ ہر صبح ناشتے میں 3 انڈے کھاتی ہے۔  
اور اپنے دوستوں کے لیے روزانہ 4 انڈوں سے مفن بناتی ہے۔  
اس طرح روزانہ کل استعمال ہونے والے انڈے = 3 + 4 = 7 انڈے۔  
باقی بچ جانے والے انڈے = 16 - 7 = 9 انڈے۔  
کسانوں کی منڈی میں ہر تازہ انڈے کی قیمت 2 ڈالر ہے۔  
تو روزانہ کمانے والی رقم = 9 × 2 = 18 ڈالر۔
</reasoning>

<SOLUTION>18 ڈالر</SOLUTION>",True
1,ایک چوغہ بنانے میں نیلے فائبر کے 2 تھان اور اُس سے آدھا سفید فائبر لگتا ہے۔ اِسے بنانے کے لیے کُل کتنے تھان درکار ہوں گے؟,3,"<reasoning>
ایک چوغہ بنانے میں نیلے فائبر کے 2 تھان لگتے ہیں۔ اُس سے آدھا سفید فائبر لگتا ہے، جو 2 کے آدھا ہے، یعنی 1 تھان۔ تاکہ کل تھان کی تعداد 2 (نیلے فائبر) + 1 (سفید فائبر) = 3 ہو جاتی ہے۔
</reasoning>

<SOLUTION>3 تھان</SOLUTION>",True
2,"جوش نے ایک گھر کی مرمت کر کے اسے بیچنے کا کام آزمانے کا فیصلہ کیا۔ اُس نے 80,000 ڈالر میں ایک گھر خریدا اور پھر اُس کی مرمت پر 50,000 ڈالر لگائے۔ اس سے گھر کی مالیت میں 150 فیصد اضافہ ہوگیا۔ اُسے کتنا منافع ہوا؟",70000,"<reasoning>
جوش نے ایک گھر 80,000 ڈالر میں خریدا اور اس کی مرمت پر 50,000 ڈالر لگائے۔ اس کی کل خرچ 80,000 + 50,000 = 130,000 ڈالر ہوگئی۔ اس گھر کی مالیت میں 150 فیصد اضافہ ہوگیا، جس کا مطلب ہے کہ اس کی نئی مالیت 150 فیصد اضافہ کے بعد ہوگی۔ اب گھر کی نئی مالیت 80,000 + (80,000 × 150%) = 80,000 + 120,000 = 200,000 ڈالر ہوگئی۔ اس کے بعد جوش نے اس گھر کو 200,000 ڈالر میں بیچ دیا۔ اس کا منافع 200,000 - 130,000 = 70,000 ڈالر ہوگیا۔
</reasoning>

<SOLUTION>70,000 ڈالر</SOLUTION>",True
3,جیمز ہفتے میں 3 بار 3 سپرنٹ دوڑنے کا فیصلہ کرتا ہے۔ وہ ہر سپرنٹ میں 60 میٹر دوڑتا ہے۔ وہ ہفتے میں کل کتنے میٹر دوڑتا ہے؟,540,"<reasoning>
جیمز ہفتے میں 3 بار سپرنٹ دوڑتا ہے۔ ہر سپرنٹ میں وہ 60 میٹر دوڑتا ہے۔ ہمیں ہفتے میں کل کتنے میٹر دوڑے گا یہ پتا کرنے کے لیے ہم ہر سپرنٹ میں دوڑے گئے میٹر کو ہفتے میں کی جانے والی سپرنٹ کی تعداد سے ضرب دے کر پتہ کر لیں گے۔

$$ 3 \times 60 = 180 $$

یعنی جیمز ہفتے میں کل 180 میٹر دوڑتا ہے۔
</reasoning>

<SOLUTION>180 میٹر</SOLUTION>",False
4,وینڈی ہر روز اپنی ہر مرغی کو صحت مند رکھنے کے لیے تین کپ ملی جلی خوراک کھلاتی ہے، جس میں بیج، کیڑے اور سبزیاں شامل ہوتی ہیں۔ وہ مرغیوں کو یہ خوراک دن میں تین الگ الگ حصوں میں دیتی ہے۔ صبح کے وقت، وہ اپنی مرغیوں کے غول کو 15 کپ خوراک دیتی ہے۔ دوپہر میں، وہ انہیں مزید 25 کپ خوراک دیتی ہے۔ اگر وینڈی کے پاس 20 مرغیاں ہوں، تو اسے دن کی آخری خوراک میں انہیں کتنے کپ خوراک دینے کی ضرورت ہے؟,20,"<reasoning>
وینڈی ہر مرغی کو تین کپ ملی جلی خوراک دیتی ہے، جو 3 حصوں میں تقسیم ہوتی ہے۔ اس کے پاس 20 مرغیاں ہیں، تو ہر روز کل خوراک کی مقدار 20 × 3 = 60 کپ ہوتی ہے۔

صبح کے وقت وہ 15 کپ خوراک دیتی ہے، اور دوپہر میں 25 کپ دیتی ہے۔ یعنی اب تک دی گئی خوراک 15 + 25 = 40 کپ ہے۔

دی گئی خوراک کی مجموعی مقدار 60 کپ ہے، تو دن کی آخری خوراک میں 60 - 40 = 20 کپ خوراک دینے کی ضرورت ہے۔
</reasoning>

<SOLUTION>20 کپ</SOLUTION>",True
5,کیلر اپنے نئے اپارٹمنٹ کے لئے شیشے خریدنے کے لئے دکان گیا. ایک شیشے کی قیمت 5 ڈالر ہے، لیکن ہر دوسرے شیشے کی قیمت صرف 60 فیصد ہے. کیلر 16 شیشے خریدنا چاہتا ہے. اسے ان کے لئے کتنا ادا کرنے کی ضرورت ہے؟,64,"<reasoning>
کیلر 16 شیشے خریدنا چاہتا ہے۔ ہر دوسرے شیشے کی قیمت 60 فیصد ہے، جو 5 ڈالر کا 60% ہے۔  
5 ڈالر کا 60% = 5 × 0.60 = 3 ڈالر  
اس طرح، ہر دوسرے شیشے کی قیمت 3 ڈالر ہے۔  
16 شیشے میں 8 شیشے 5 ڈالر کی قیمت کے ہیں اور 8 شیشے 3 ڈالر کی قیمت کے ہیں۔  
کل قیمت = (8 × 5) + (8 × 3) = 40 + 24 = 64 ڈالر  
</reasoning>

<SOLUTION>64 ڈالر</SOLUTION>",True
6,ٹولوس کے پاس چارلسٹن سے دوگنی بھیڑیں ہیں۔ چارلسٹن کے پاس سیئٹل سے چار گنا زیادہ بھیڑیں ہیں۔ اگر سیئٹل کے پاس 20 بھیڑیں ہیں، تو ٹولوس، چارلسٹن اور سیئٹل تینوں کے پاس ملا کر کل کتنی بھیڑیں ہوں گی؟,260,"<reasoning>
ہمیں ٹولوس، چارلسٹن اور سیئٹل کی بھیڑوں کی تعداد معلوم کرنی ہے۔

- سیئٹل کے پاس 20 بھیڑیں ہیں۔
- چارلسٹن کے پاس سیئٹل سے چار گنا زیادہ بھیڑیں ہیں، یعنی:  
  $ 20 \times 4 = 80 $ بھیڑیں
- ٹولوس کے پاس چارلسٹن سے دوگنی بھیڑیں ہیں، یعنی:  
  $ 80 \times 2 = 160 $ بھیڑیں

اب ہم یہ تینوں کی بھیڑوں کی تعداد کو جمع کریں گے:  
$ 20 + 80 + 160 = 260 $

</reasoning>

<SOLUTION>260</SOLUTION>",True
7,کارلا ایک 200 جی بی کی فائل ڈاؤن لوڈ کر رہی ہے۔ عام طور پر وہ 2 جی بی فی منٹ کی رفتار سے ڈاؤن لوڈ کر سکتی ہے، لیکن جب ڈاؤن لوڈ 40 فیصد مکمل ہوا، تو ونڈوز نے اپ ڈیٹس انسٹال کرنے کے لیے کمپیوٹر کو ری اسٹارٹ کر دیا، جس میں 20 منٹ لگے۔ اس کے بعد کارلا کو ڈاؤن لوڈ شروع سے دوبارہ کرنا پڑا۔ فائل کو ڈاؤن لوڈ کرنے میں کل کتنا وقت لگے گا؟,160,"<reasoning>
کارلا کی فائل 200 جی بی کی ہے۔ عام طور پر وہ 2 جی بی فی منٹ کی رفتار سے ڈاؤن لوڈ کر سکتی ہے، جس سے 200 جی بی کی فائل کو ڈاؤن لوڈ کرنے میں 100 منٹ لگتے ہیں۔

لیکن جب ڈاؤن لوڈ 40 فیصد مکمل ہوا، تو 40 فیصد 200 جی بی ہے، جو 80 جی بی ہے۔ اس وقت 80 جی بی کی ڈاؤن لوڈ کرنے میں 40 منٹ لگے ہوں گے۔

پھر ونڈوز نے اپ ڈیٹس انسٹال کرنے کے لیے کمپیوٹر کو ری اسٹارٹ کر دیا، جس میں 20 منٹ لگے۔

اس کے بعد کارلا کو ڈاؤن لوڈ شروع سے دوبارہ کرنا پڑا، جس میں دوبارہ 100 منٹ لگے ہوں گے۔

کل وقت = 40 منٹ (پہلے ڈاؤن لوڈ) + 20 منٹ (ری اسٹارٹ) + 100 منٹ (دوسری ڈاؤن لوڈ) = 160 منٹ
</reasoning>

<SOLUTION>160 منٹ</SOLUTION>",True
8,جان 3 گھنٹے تک 60 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، پھر اسے احساس ہوتا ہے کہ وہ گھر پر کوئی بہت اہم چیز بھول گیا ہے، اس لیے وہ واپس مڑ جاتا ہے۔ وہ 4 گھنٹے میں گھر پہنچنے کی کوشش کرتا ہے، لیکن پہلے دو گھنٹے ٹریفک جام میں پھنسا رہتا ہے۔ اس کے بعد وہ اگلا آدھا گھنٹہ 30 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، اور پھر 4 گھنٹے کے بقیہ وقت میں 80 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے۔ ان 4 گھنٹوں کے اختتام پر وہ گھر سے کتنی دور ہے؟,45,"<reasoning>
جان نے پہلے 3 گھنٹے تک 60 میل فی گھنٹہ کی رفتار سے گاڑی چلا کر 180 میل کا فاصلہ طے کیا۔ پھر وہ واپس چلا آیا، لیکن پہلے دو گھنٹے ٹریفک جام میں پھنسا رہا، اس لیے اس کا گھر کی طرف کا فاصلہ 120 میل (2 × 60) کم ہو گیا۔ اس کے بعد وہ اگلا آدھا گھنٹہ 30 میل فی گھنٹہ کی رفتار سے گاڑی چلا کر 15 میل کا فاصلہ طے کیا۔ پھر 4 گھنٹے کے بقیہ وقت میں 80 میل فی گھنٹہ کی رفتار سے گاڑی چلا کر 320 میل کا فاصلہ طے کیا۔

کل فاصلہ = 180 (پہلے 3 گھنٹے) - 120 (ٹریفک جام) + 15 (آدھا گھنٹہ) + 320 (4 گھنٹے) = 400 میل
</reasoning>

<SOLUTION>400 میل</SOLUTION>",False
9,الیزا کو ہر ہفتے پہلے 40 گھنٹے کام کرنے کے لیے 10 ڈالر فی گھنٹہ ملتے ہیں۔ اسے اضافی وقت (اوور ٹائم) کام کرنے پر اپنی معمول کی اجرت کا 1.2 گنا معاوضہ بھی ملتا ہے۔ اگر الیزا نے اس ہفتے 45 گھنٹے کام کیا، تو اس ہفتے اس کی کل کمائی کتنی ہوگی؟,460,"<reasoning>
الیزا کو ہر ہفتے پہلے 40 گھنٹے کام کرنے کے لیے 10 ڈالر فی گھنٹہ ملتے ہیں۔ اسے اضافی وقت (40 گھنٹے سے زائد) کام کرنے پر اپنی معمول کی اجرت کا 1.2 گنا معاوضہ بھی ملتا ہے۔

اگر الیزا نے 45 گھنٹے کام کیا، تو اس کا 40 گھنٹے معمولی کام اور 5 گھنٹے اضافی کام ہے۔

- 40 گھنٹے کے لیے کمائی = 40 × 10 = 400 ڈالر
- 5 گھنٹے کے لیے اضافی کام کے معاوضہ = 5 × (10 × 1.2) = 5 × 12 = 60 ڈالر

کل کمائی = 400 + 60 = 460 ڈالر
</reasoning>

<SOLUTION>460 ڈالر</SOLUTION>",True
